topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
90,"mr flanigan, mose, montesinos, mr montesinos, chavez supporters, mr madrazo, anti chavez, batasuna, mr toledo, mr pastrana, cafta, mr aristide, mr valencia, crider, pastrana",1161,2000-01,2019-11,45,45
91,"gramm senator, pin debit, mr chairman, navarrette, cendant mortgage, usa education, fm watch, irb, boli, accelerating productivity, taylor rule, senator sarbanes, wealth affect, wealth effect, greenspan think",186,2000-01,2007-01,10,10
92,"mr lorello, syncor, dr moon, outlier payments, lorello, mr barbakow, redding medical, gillings, guidant, barbakow, healtheon webmd, quintiles, healtheon, webmd, guidant shareholders",128,2000-01,2005-12,6,6
93,"mr pistorius, rahami, mr roof, etan, mr rahami, mr tsarnaev, mr farook, slager, bratton said, mateen, ms steenkamp, pantaleo, farook, ms bland, mr bratton",5316,2000-01,2020-08,92,116
94,"ms miers, ms rhee, judge alito, mr walcott, judge roberts, parent trigger, person instruction, walcott, uft, mr bobb, remote learning, miers, walcott said, person learning, nclb",4777,2000-01,2021-11,129,136
95,"brien bob, bob new, contracts gained, unchanged nyse, exchange semiconductor, tech 35, nasdaq software, outstanding gained, traded briskly, write robert, nasdaq lehman, issues advancing, hands bonds, defensive puts, nasdaq chip",5839,2000-01,2017-12,147,194
96,"baa1 bbb, yield margin, degrees source, moinian, global notes, moody single, chase salomon, 144a debt, piece priced, minskoff, mr moinian, rated baa1, citi habitats, knakal, massey knakal",3794,2000-01,2018-07,110,117
97,"mr moinian, degrees source, moinian, sauvignon blanc, pinot gris, dottie, royal ballet, chardonnays, syrah, chenin, sancerre, sauternes, sauvignon, mr schron, chenin blanc",5318,2000-02,2020-10,102,111
98,"xxxx, ms english, pii, jul, tweber, pro financial, toysmart, network advertisers, seisint, choicepoint, mr steinhafel, rasch, carnivore, phishers, bidder edge",980,2000-02,2021-12,32,35
99,"kohlhaussen, mr fahrholz, fahrholz, bbg, mr barnevik, ojjeh, gigabell, franzia, bgb, barnevik, mr ebner, pzu, azeo, delhaize america, ipb",1915,2000-02,2016-02,42,48
100,"ansett, cathay pilots, aircrew officers, ms seth, dragonair, kong aircrew, john findlay, fifth freedom, deutsche ba, bintan, jal, mr eddington, betapharm, parsi, optical films",738,2000-02,2013-02,26,27
101,"icb, metaverse, rayford, prosus, spac, archegos, nbnk, intertainer, mr horta, nft, breit, nfts, horta osório, spacs, owl rock",2614,2000-02,2021-12,72,76
102,"mr hazare, champlain towers, hazare, alamoudi, lokpal, surfside, towers south, tazreen, scomi, jirga, loya jirga, leyte, rana plaza, kalam, mr vajpayee",1400,2000-03,2021-07,46,49
103,"pacific dunlop, van vijver, ms boynton, vijver, sir philip, conectiv, overbookings, ultramar, fletcher challenge, ormen lange, ormen, reichstul, rgs energy, fording, luscar",480,2000-03,2017-07,18,18
104,"mr ailes, mrs graham, mr pecker, willes, ailes, mr genachowski, genachowski, mr salmi, ms berner, connected nation, com barnesandnoble, times mirror, bookstar, fiction bestselling, equivalent median",414,2000-03,2013-10,19,19
105,"southcorp, eric molson, mr daft, molson shareholders, agribrands, wine alcohol, sobe, mr enrico, ambev, mr reinemund, enrico said, molson, femsa cerveza, inbev offer, ibp",894,2000-03,2019-06,36,36
106,"eckhaus, webb report, mr geoghegan, mr nakasone, mr weldon, georgine, mr arnott, mr georgine, mr kilts, compensation 2011, mr stockert, 2012 compensation, ullico, mr ranieri, staggered boards",359,2000-04,2013-03,15,15
107,"houk, drm, mr cruise, mr legend, drm free, inno, photobucket, gracenote, ms margolis, ilm, ubo, family package, mehri, tunecore, entercom",630,2000-04,2008-01,20,22
108,"sondland, mr sondland, strzok, vindman, mr manafort, debaltseve, yovanovitch, ms clifford, mariupol, mueller office, mr zelensky, mr poroshenko, mr corsi, fusion gps, zelensky",4438,2000-04,2021-12,89,107
109,"ameriserve, mr lenny, hillshire, dybeck happe, mr hees, mr engles, mr laguarta, bestfoods, mr schulze, dybeck, hershey trust, mr isdell, mr demos, mr steinhafel, tinplate",4535,2000-04,2021-12,107,120
110,"norvir, biosite, speedel, prexige, aliskiren, wellchoice, aranesp, symbion, omnicare, neighborcare, alpharma, vonovia, terraform, kaletra, le fur",840,2000-04,2016-06,31,32
