topic_id,global_top_words,n_docs_total,first_month,last_month,n_months_active,n_subcluster_hits
159,"mr duterte, misuari, ms arroyo, duterte, mr estrada, mr aquino, mrs arroyo, ampatuan, mr subianto, subianto, enrile, bolaños, hutomo, duterte said, mr hutomo",409,2001-04,2018-09,36,37
160,"judge strine, union wachovia, humann, wachovia board, bid wachovia, wachovia winston, mr rogel, mr humann, willamette, mr offit, wachovia share, wachovia suntrust, willamette board, wachovia union, suntrust atlanta",84,2001-05,2001-12,6,6
161,"mr duhalde, duhalde, judge griesa, griesa, mr cavallo, lavagna, kicillof, mr remes, nml, mr lavagna, la rua, eduardo duhalde, blejer, cavallo, remes",1055,2001-05,2021-03,46,48
162,"crossair, transavia, sabena, vereinigung cockpit, vereinigung, lufthansa pilots, ice pellets, swissair group, swissair, wizz, mr corti, váradi, airways bay, corti, union vereinigung",966,2001-05,2017-08,28,30
163,"mr schacht, ms hopkins, schacht, nexans, tchuruk, mr tchuruk, lucent shareholders, flowback, alcatel, acquisition lucent, alcatel shareholders, 360networks, agere, lucent, lucent executives",48,2001-05,2013-12,16,16
164,"wga, catmull, mr lasseter, amptp, weinsteins, mr verrone, mr eisner, mr mottola, mgm debt, directors guild, miramax, mr antioco, worldwide pants, pixar, verrone",603,2001-05,2012-05,30,30
165,"mr bonsignore, mr bossidy, bonsignore, gecas, bossidy, ge honeywell, merger task, honeywell ge, bae eads, deal honeywell, engines honeywell, honeywell deal, honeywell merger, baesy 03, mr monti",111,2001-06,2015-09,5,5
166,"mr roof, pfc manning, juan diego, bellesiles, mr marri, marri, sgt bergdahl, mr pinckney, mr roeder, amirault, cardinal ratzinger, ratzinger, beinart, mr binalshibh, mr moussaoui",1577,2001-06,2021-12,49,52
167,"mr grubman, grubman, eresearch, flash orders, mr blodget, antigenics, mr cotsakos, ipayment, research practices, mr schonfeld, optimistic research, blodget, ipo allocations, mr chacon, cotsakos",501,2001-06,2017-06,23,24
168,"graham cassidy, adventure click, acos, ms burwell, person adventure, dr berwick, hras, hsas, individual mandate, ignagni, tenncare, aca taxes, explore america, traditional medicare, risk pools",5788,2001-06,2021-09,148,160
169,"cafta, quispe, chapter 19, kahlo, michoacana, maquiladora, chapala, ahmsa, mexican trucks, cancun, mr dart, singapore issues, aymara, mr lorenzo, lake chapala",310,2001-06,2021-05,20,20
170,"ipcc, binding emissions, ms poppe, ms thunberg, cop26, mr sandor, endangerment finding, mr ramesh, bt cotton, nazca, warming emissions, ms browner, waxman markey, cers, lomborg",1196,2001-07,2021-11,45,46
171,"genoa, mission macedonia, gsf, social forum, black block, mr scajola, mr solana, scajola, antiglobalization, deiss, ibarretxe, antiglobalization movement, seattle 1999, hih, genoese",53,2001-07,2002-02,3,3
