month,n_total_docs,n_outliers_initial,n_outliers_recovered,n_outliers_unassigned,outlier_rate_initial,outlier_rate_final
2014-02,3215,537,22,515,0.167,0.1602
2014-03,3431,474,26,448,0.1382,0.1306
2014-04,3521,563,39,524,0.1599,0.1488
2014-05,3428,500,34,466,0.1459,0.1359
2014-06,3560,576,30,546,0.1618,0.1534
2014-07,4073,737,44,693,0.1809,0.1701
2014-08,3331,488,30,458,0.1465,0.1375
2014-09,3806,716,42,674,0.1881,0.1771
2014-10,4312,812,38,774,0.1883,0.1795
2014-11,3367,413,23,390,0.1227,0.1158
2014-12,3377,557,26,531,0.1649,0.1572
2015-01,3087,367,34,333,0.1189,0.1079
2015-02,2880,368,25,343,0.1278,0.1191
2015-03,3247,473,54,419,0.1457,0.129
2015-04,3169,642,37,605,0.2026,0.1909
2015-05,3040,423,42,381,0.1391,0.1253
2015-06,3123,537,32,505,0.172,0.1617
2015-07,3099,532,42,490,0.1717,0.1581
2015-08,2585,348,31,317,0.1346,0.1226
2015-09,2982,640,53,587,0.2146,0.1968
2015-10,3290,486,28,458,0.1477,0.1392
2015-11,2865,383,20,363,0.1337,0.1267
2015-12,2806,481,50,431,0.1714,0.1536
2016-01,3019,535,35,500,0.1772,0.1656
2016-02,3179,328,24,304,0.1032,0.0956
2016-03,3235,442,46,396,0.1366,0.1224
2016-04,3065,413,21,392,0.1347,0.1279
2016-05,2916,428,27,401,0.1468,0.1375
2016-06,3156,639,53,586,0.2025,0.1857
2016-07,2918,547,44,503,0.1875,0.1724
2016-08,2693,366,44,322,0.1359,0.1196
2016-09,2816,426,33,393,0.1513,0.1396
2016-10,2862,468,33,435,0.1635,0.152
2016-11,2792,327,15,312,0.1171,0.1117
2016-12,2354,340,21,319,0.1444,0.1355
2017-01,2528,324,23,301,0.1282,0.1191
2017-02,2327,310,15,295,0.1332,0.1268
2017-03,2536,373,26,347,0.1471,0.1368
2017-04,2200,287,20,267,0.1305,0.1214
2017-05,2374,401,39,362,0.1689,0.1525
2017-06,2286,360,28,332,0.1575,0.1452
2017-07,2028,383,33,350,0.1889,0.1726
2017-08,2036,262,21,241,0.1287,0.1184
2017-09,2086,213,9,204,0.1021,0.0978
2017-10,2175,317,30,287,0.1457,0.132
2017-11,1893,165,10,155,0.0872,0.0819
2017-12,1621,167,9,158,0.103,0.0975
2018-01,1865,143,7,136,0.0767,0.0729
2018-02,1656,242,18,224,0.1461,0.1353
2018-03,1947,296,11,285,0.152,0.1464
2018-04,1797,270,27,243,0.1503,0.1352
2018-05,1950,260,9,251,0.1333,0.1287
2018-06,1737,217,22,195,0.1249,0.1123
2018-07,1650,245,24,221,0.1485,0.1339
2018-08,1710,222,13,209,0.1298,0.1222
2018-09,1585,188,10,178,0.1186,0.1123
2018-10,1883,321,26,295,0.1705,0.1567
2018-11,1761,237,21,216,0.1346,0.1227
2018-12,1551,274,37,237,0.1767,0.1528
2019-01,1824,294,35,259,0.1612,0.142
2019-02,1692,247,21,226,0.146,0.1336
2019-03,1744,226,22,204,0.1296,0.117
2019-04,1784,276,23,253,0.1547,0.1418
2019-05,1838,251,17,234,0.1366,0.1273
2019-06,1699,226,12,214,0.133,0.126
2019-07,1828,311,23,288,0.1701,0.1575
2019-08,1595,270,19,251,0.1693,0.1574
2019-09,1707,227,19,208,0.133,0.1219
2019-10,1959,219,29,190,0.1118,0.097
2019-11,1607,134,28,106,0.0834,0.066
2019-12,1525,156,21,135,0.1023,0.0885
2020-01,1729,227,27,200,0.1313,0.1157
2020-02,1569,244,23,221,0.1555,0.1409
2020-03,1978,280,3,277,0.1416,0.14
2020-04,1899,202,9,193,0.1064,0.1016
2020-05,1597,272,21,251,0.1703,0.1572
2020-06,1651,304,31,273,0.1841,0.1654
2020-07,1646,224,10,214,0.1361,0.13
2020-08,1473,201,10,191,0.1365,0.1297
2020-09,1554,236,21,215,0.1519,0.1384
2020-10,1646,122,5,117,0.0741,0.0711
2020-11,1375,254,18,236,0.1847,0.1716
2020-12,1440,184,10,174,0.1278,0.1208
2021-01,1448,340,20,320,0.2348,0.221
2021-02,1412,213,16,197,0.1508,0.1395
2021-03,1603,264,27,237,0.1647,0.1478
2021-04,1450,162,10,152,0.1117,0.1048
2021-05,1354,156,9,147,0.1152,0.1086
2021-06,1498,160,6,154,0.1068,0.1028
2021-07,1493,192,3,189,0.1286,0.1266
2021-08,1419,104,14,90,0.0733,0.0634
2021-09,1509,101,9,92,0.0669,0.061
2021-10,1463,193,10,183,0.1319,0.1251
2021-11,1321,173,15,158,0.131,0.1196
2021-12,1436,215,12,203,0.1497,0.1414
